,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,22.909713222928023,20.704758671909772,18.556730622253784,16.93960194719448,15.059268365463966,13.357323954525292,11.189301350389764,9.009326092640837,6.063203327621683,2.616603152566779,-2.631321493591627,-6.064117062129062,-8.9827715576461,-11.2092512725931,-13.312293837016087,-15.06717428561589,-16.93836739806665,-18.585261516431196,-20.780917571512415,-22.834357999949287
1,22.683812859155257,20.454357009079377,18.336893333363925,16.709861391205692,14.837426165647566,13.110763999794644,10.985036021673686,8.832491794669911,5.874022443566489,2.503200434521419,-2.537005974447456,-5.868477511287986,-8.771169948191016,-10.975262217853066,-13.083720658246902,-14.858725647561908,-16.711667157155464,-18.374686903863648,-20.52972776664149,-22.61742168205602
2,22.509845226875207,20.245393361077642,18.13604362618849,16.505331099753953,14.626588344309821,12.906340644571985,10.790802921079589,8.61706118424294,5.7173825844310375,2.4007728524950274,-2.4079473230913564,-5.712296488368853,-8.568116096799685,-10.77919705586165,-12.893643253932435,-14.663895373051894,-16.49901787043165,-18.143814922663008,-20.329067270338076,-22.458566196955328
3,22.34764055638771,20.06718673619475,17.944192906697126,16.304598017633502,14.463894977926254,12.722185604088647,10.599552884828153,8.425743593145736,5.566025062671057,2.2959283529373016,-2.2902640625694084,-5.552232164532419,-8.39896733029434,-10.595188365368148,-12.694161743804159,-14.456126747654768,-16.327637183064784,-17.993518225966245,-20.152023460642212,-22.27682941007931
4,22.21491310495978,19.901245255307966,17.778470570609638,16.13387660402652,14.255296147197166,12.552387253242463,10.417438470818155,8.301561972648377,5.40780359076352,2.197030531426817,-2.2112651596315596,-5.4298384194377665,-8.231618723478556,-10.436592938630488,-12.514368777034116,-14.293443315371116,-16.134296005414953,-17.78996900325071,-19.977470941218932,-22.14116021782187
5,22.033641121648813,19.735545869334544,17.61772800415007,15.99206028795954,14.101953179586905,12.361187587664693,10.253507169381884,8.10546238024894,5.3038832592989875,2.132646743081443,-2.142977203224426,-5.3084126655664665,-8.067516140843807,-10.262425622712215,-12.344453108584872,-14.123013954449084,-15.977535748017036,-17.639697062405425,-19.79111639891738,-21.980467698876435
6,21.924198838806618,19.601723370805928,17.45396977660696,15.817794779935452,13.956686229518573,12.218631213496714,10.107938811536359,7.961786853017849,5.1764200574826695,2.077369349240817,-2.083713972991676,-5.1729182631083015,-7.923403020022177,-10.11430801976207,-12.181629395657131,-13.978086334676872,-15.826079298900272,-17.487748156980565,-19.642966536229896,-21.885666281250877
7,21.83194665452653,19.463952444115176,17.313842197153356,15.68477986051603,13.82598561520871,12.07630088532029,10.000179055301894,7.830074136029555,5.080541443774772,1.994330329413041,-2.013927185541891,-5.093054155077609,-7.796218318269982,-9.963613106228173,-12.0708161779589,-13.82450505661015,-15.684558855957832,-17.351577882058322,-19.520343478414095,-21.783318346029688
8,21.72143067497356,19.329338515775486,17.211850160666405,15.580865604977514,13.723062983922572,11.972753803861252,9.864510584795099,7.7236950006476945,4.99795027128055,1.9515123587198513,-1.9820412143628052,-4.981637546761256,-7.710222322392862,-9.880698660138107,-11.946900508216054,-13.723324309698729,-15.548196415176257,-17.232003079218323,-19.387531882176706,-21.684414004485372
9,21.63297559575409,19.228900077941955,17.10965829921721,15.442683491048076,13.605690671882872,11.87570534815141,9.762530930067811,7.623546920762057,4.891732035660019,1.896954143630501,-1.9044340266826545,-4.912355298140554,-7.587300692017305,-9.769831569327454,-11.84172966868606,-13.581205132529503,-15.444739501968265,-17.146988758294828,-19.288325729924246,-21.59346713809922
10,21.59532886144194,19.13669222660802,17.01186928518578,15.37421224121873,13.524358478635676,11.746411568898802,9.711554212254812,7.550084115534693,4.835426176674288,1.838101715412679,-1.894506400313746,-4.823627513208718,-7.5083037477722,-9.693753965977074,-11.730124884827053,-13.51134968108506,-15.370468726766742,-17.04307395170501,-19.20202291151852,-21.546807097143194
11,21.524280222103933,19.081984707562903,16.925594556775565,15.283159007899503,13.427225162883023,11.712182454943534,9.63328825581614,7.487438803964786,4.759008567946849,1.8184124850553887,-1.8463091090493868,-4.784908201544424,-7.4484360503949265,-9.61691129465969,-11.677724836872617,-13.439289328752187,-15.287609284058377,-16.94904303356829,-19.119954317401206,-21.482388819207944
12,21.475536100881534,18.99136498243479,16.885215693442134,15.233445188439983,13.384058635830078,11.633052361907747,9.579968975160677,7.417763007275694,4.743945357229035,1.8155533551122436,-1.8371150791987934,-4.739167878245062,-7.398416892359054,-9.57222933981625,-11.623113692840157,-13.378516593978787,-15.217071355910079,-16.91749775392368,-19.02282205353147,-21.453952990599714
13,21.45825865215611,18.930752821470197,16.82174167245787,15.163975061213378,13.334372685647619,11.571533946299414,9.525400829333286,7.3983052234465925,4.69671432769216,1.780040435943625,-1.8275529167120703,-4.694245373512394,-7.354047638427667,-9.512401695983128,-11.553247524713994,-13.334014347210285,-15.166453658167809,-16.82697575231992,-18.97139098099004,-21.440765766190225
14,21.436685541436425,18.89519524900365,16.759204581915917,15.116476855302125,13.284361583647248,11.548618406734322,9.470728002845021,7.373408265439206,4.701242284157298,1.7688362769551567,-1.8072502615891752,-4.692903295954985,-7.319115645985777,-9.470216316773675,-11.523120989664406,-13.295766503305025,-15.107633901768494,-16.79810376129673,-18.92596377944278,-21.41468259209532
