,0,1
0,0.1,0.31767435571271035
1,0.2,0.4812399181750163
2,0.30000000000000004,0.6763763084697574
3,0.4,0.9097630038739064
4,0.5,1.1760369423864023
5,0.6,1.4407674055943052
6,0.7000000000000001,1.6359822336744203
7,0.8,1.709862703816747
8,0.9,1.6075213146733887
9,1.0,1.3928565219398
10,1.1,1.1459852314972085
11,1.2000000000000002,0.9027084553988157
12,1.3000000000000003,0.687403827439305
13,1.4000000000000001,0.49719982680917785
14,1.5000000000000002,0.32009866202369763
15,1.6,0.23578999013724503
